,country,income_group,population_2020,overall_performance,factor_knowledge,factor_technology,factor_future_readiness,subfact_know_talent,subfact_know_training_education,subfact_know_scientific_concentration,subfact_tech_regulatory_framework,subfact_tech_capital,subfact_tech_technological_framework,subfact_fr_adaptive_attitudes,subfact_fr_business_agility,subfact_fr_it_integration,gini_value,totalcount,avg,vulnper1k,exposureperperson
163,Pakistan,Lower middle,220892000.0,,,,,,,,,,,,,,33.5,94118,7.636311863830513,0.42608152400268007,0.0032536913967006515
164,Palau,High,18000.0,,,,,,,,,,,,,,,1943862,6.873459952093629,107992.33333333333,742.4134833333335
165,Panama,High,4315000.0,,,,,,,,,,,,,,49.9,138253,7.062233134691044,32.04009269988413,0.22630570104287373
166,Papua New Guinea,Lower middle,8947000.0,,,,,,,,,,,,,,41.9,29684,7.580588671112009,3.3177601430647146,0.025159047725494578
167,Paraguay,Upper middle,7133000.0,,,,,,,,,,,,,,48.8,26989,7.779421245692688,3.7836814804430112,0.029434852095892326
168,Peru,Upper middle,32972000.0,55.0,55.0,58.0,55.0,58.0,39.0,559.0,49.0,37.0,59.0,29.0,33.0,58.0,43.3,80011,7.755713589381459,2.426634720368798,0.01882028387722916
169,Philippines,Lower middle,109581000.0,57.0,62.0,53.0,54.0,55.0,59.0,56.0,62.0,39.0,49.0,57.0,32.0,56.0,44.4,201076,7.638218445105278,1.8349531396866245,0.014017027586899196
170,Poland,High,37847000.0,32.0,30.0,37.0,35.0,29.0,32.0,28.0,46.0,36.0,23.0,29.0,33.0,38.0,31.8,3065464,7.9335082277812035,80.99622162919121,0.6425850291965014
171,Portugal,High,10197000.0,37.0,33.0,38.0,41.0,24.0,38.0,30.0,20.0,44.0,42.0,31.0,57.0,34.0,35.5,206439,7.680450956648099,20.245072080023537,0.1554995685005394
172,Puerto Rico,High,2861000.0,,,,,,,,,,,,,,,87041,7.334772322710302,30.423278573925202,0.22323498776651507
173,Qatar,High,2881000.0,30.0,45.0,25.0,24.0,15.0,53.0,60.0,29.0,19.0,31.0,27.0,17.0,28.0,,6940,7.441527377521614,2.4088858035404375,0.017925789656369314
174,Republic of Moldova,Lower middle,4034000.0,,,,,,,,,,,,,,25.9,222126,8.02722766705533,55.063460585027265,0.4420089241447693
175,Reunion,,895000.0,,,,,,,,,,,,,,,118014,7.323141755961206,131.85921787709498,0.9659592178770953
